#,id,house_type,house_floor,house_direction,house_area,house_structure,transaction_type,transaction_time,house_decoration,is_elevator,house_year,house_loc,house_position,u_price,t_price,detail_url,green_rate
19,19,4室2厅1厨2卫,高楼层 (共14层),南,184.85,平层,挂牌,2024-06-29,精装,有,2013,仁恒森兰雅苑(一期),浦东 高行 中环至外环,93482,1728,https://sh.lianjia.com/ershoufang/107110115121.htm,0.35
20,20,4室3厅1厨4卫,低楼层 (共14层),南 北,334.34,复式,挂牌,2023-11-18,精装,有,2012,仁恒森兰雅苑(一期),浦东 高行 中环至外环,86380,2888,https://sh.lianjia.com/ershoufang/107108514463.htm,0.35
21,21,5室3厅1厨4卫,高楼层 (共20层),南,315.24,复式,挂牌,2024-12-12,精装,有,2013,仁恒森兰雅苑(一期),浦东 高行 中环至外环,88822,2800,https://sh.lianjia.com/ershoufang/107111577089.htm,0.35
22,1,4室2厅1厨3卫,高楼层(共20层),南 北,214.33,平层,成交,2024-08-05,精装,有,2013,仁恒森兰雅苑(一期),,84356,1808,https://sh.lianjia.com/chengjiao/107111260225.html,0.35
23,2,4室2厅1厨3卫,低楼层(共20层),南,214.33,平层,成交,1970-01-01,精装,有,2013,仁恒森兰雅苑(一期),,80157,1718,https://sh.lianjia.com/chengjiao/107111016581.html,0.35
24,3,4室2厅1厨2卫,中楼层(共14层),南,186.51,平层,成交,1970-01-01,精装,有,2013,仁恒森兰雅苑(一期),,84178,1570,https://sh.lianjia.com/chengjiao/107107926093.html,0.35
25,4,4室2厅1厨2卫,高楼层(共20层),南,214.33,平层,成交,1970-01-01,精装,有,2013,仁恒森兰雅苑(一期),,84870,1819,https://sh.lianjia.com/chengjiao/107110356385.html,0.35
26,5,2室2厅1厨1卫,高楼层(共20层),南,92.07,平层,成交,1970-01-01,精装,有,2013,仁恒森兰雅苑(一期),,92322,850,https://sh.lianjia.com/chengjiao/107108380291.html,0.35
27,6,5室2厅1厨4卫,低楼层(共2层),南,558,复式,成交,1970-01-01,精装,无,2012,仁恒森兰雅苑(一期),,59140,3300,https://sh.lianjia.com/chengjiao/107107213273.html,0.35
28,7,2室2厅1厨1卫,低楼层(共20层),南 北,91.41,平层,成交,1970-01-01,精装,有,2013,仁恒森兰雅苑(一期),,92769,848,https://sh.lianjia.com/chengjiao/107107768780.html,0.35
29,8,2室2厅0厨1卫,中楼层(共20层),南 北,91.41,暂无数据,成交,1970-01-01,精装,有,2013,仁恒森兰雅苑(一期),,92988,850,https://sh.lianjia.com/chengjiao/107109131283.html,0.35
30,9,2室2厅1厨1卫,低楼层(共20层),南,91.41,平层,成交,1970-01-01,精装,有,2013,仁恒森兰雅苑(一期),,90800,830,https://sh.lianjia.com/chengjiao/107107568088.html,0.35
31,10,5室3厅1厨3卫,高楼层(共14层),南 北,284.04,复式,成交,1970-01-01,精装,有,2013,仁恒森兰雅苑(一期),,87840,2495,https://sh.lianjia.com/chengjiao/107106318548.html,0.35
32,11,2室2厅1厨1卫,低楼层(共20层),南,91.41,平层,成交,1970-01-01,精装,有,2013,仁恒森兰雅苑(一期),,98458,900,https://sh.lianjia.com/chengjiao/107107068922.html,0.35
33,12,2室1厅1厨1卫,中楼层(共20层),南,91.41,平层,成交,1970-01-01,精装,有,2013,仁恒森兰雅苑(一期),,91894,840,https://sh.lianjia.com/chengjiao/107106886912.html,0.35
34,13,4室2厅1厨2卫,低楼层(共14层),南 北,185.32,平层,成交,1970-01-01,精装,有,2012,仁恒森兰雅苑(一期),,99558,1845,https://sh.lianjia.com/chengjiao/107104054799.html,0.35
35,14,2室2厅1厨1卫,中楼层(共20层),南,91.41,平层,成交,1970-01-01,精装,有,2013,仁恒森兰雅苑(一期),,111367,1018,https://sh.lianjia.com/chengjiao/107105265142.html,0.35
36,15,2室2厅1厨1卫,高楼层(共20层),南,91.34,平层,成交,1970-01-01,精装,有,2013,仁恒森兰雅苑(一期),,113313,1035,https://sh.lianjia.com/chengjiao/107105297441.html,0.35
37,16,4室2厅1厨2卫,高楼层(共14层),南 北,186.54,平层,成交,1970-01-01,精装,有,2013,仁恒森兰雅苑(一期),,107270,2001,https://sh.lianjia.com/chengjiao/107105198887.html,0.35
